Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
EastToss,Максим Фролов,RU,CSO eSports,,29,Protoss
Exostriker,Никита Суровцев,RU,Alpha X,2005-03-22,914,Protoss
MouLou,Alexandre Delyon,FR,Genesis Gaming,,644,Terran
YoGer,張簡政利,TW,,,5899,Zerg
Azure,Craig MacKechnie,AU,OpusV,1995-07-31,8578,Terran
KoNtiNuE,Sean Andersson,US,,1992-04-03,470,Protoss
SpaceMarine,Suayb Köse,DK,ePunks,1994-03-11,2123,Protoss
omgabanana,Kevin Yu,US,,,376,Protoss
MarineKing,이정훈,KR,,1993-07-11,206257,Terran
LabyRinth,도유현,KR,,1995-01-16,1061,Terran
Monty,Erik Wilcke,DE,,,912,Protoss
Ein,高坤,CN,Team SCBoy,1990-04-11,12958,Terran
Frustration,Ashley Cox,AU,,1994-07-17,3247,Protoss
Bistork,何文瀚,HK,Juggernauts,,9159,Protoss
Sting,주훈,KR,,,15539,Terran
Ruiyichi,,US,Apprentice Esports,,593,Protoss
Ranger,Kien Khun Yap,MY,,,4798,Protoss
PsiOniC,Paul Daniel dit Andrieu,FR,Altar,1995-12-15,4263,Protoss
NAKSEO,탁현승,KR,,1994-03-29,12274,Zerg
Ostojiy,Christopher Ostojic,CA,,1992-11-23,4616,Zerg
elizae,문영훈,KR,,,134,Protoss
ZerO,김명운,KR,,1990-02-18,922,Zerg
Miso,박숭,KR,,1992-05-24,492,Terran
ReasoN,Paulo Cesar de Azevedo Cardoso,BR,,,2527,Zerg
